,#term ID,term description,observed gene count,background gene count,strength,false discovery rate,matching proteins in your network (IDs),matching proteins in your network (labels)
10,GO:0030154,Cell differentiation,82,3507,0.28,1.43e-06,"9606.ENSP00000199389,9606.ENSP00000215957,9606.ENSP00000222399,9606.ENSP00000225964,9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000239165,9606.ENSP00000239243,9606.ENSP00000257552,9606.ENSP00000257566,9606.ENSP00000261918,9606.ENSP00000262613,9606.ENSP00000264059,9606.ENSP00000264731,9606.ENSP00000265734,9606.ENSP00000275493,9606.ENSP00000279022,9606.ENSP00000279488,9606.ENSP00000295006,9606.ENSP00000296585,9606.ENSP00000296861,9606.ENSP00000297689,9606.ENSP00000300060,9606.ENSP00000301653,9606.ENSP00000313391,9606.ENSP00000316779,9606.ENSP00000316905,9606.ENSP00000325526,9606.ENSP00000327145,9606.ENSP00000329243,9606.ENSP00000332118,9606.ENSP00000334008,9606.ENSP00000341170,9606.ENSP00000347454,9606.ENSP00000347532,9606.ENSP00000351338,9606.ENSP00000352208,9606.ENSP00000353007,9606.ENSP00000355124,9606.ENSP00000356465,9606.ENSP00000356581,9606.ENSP00000358765,9606.ENSP00000363117,9606.ENSP00000363377,9606.ENSP00000363827,9606.ENSP00000366070,9606.ENSP00000366109,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000368678,9606.ENSP00000370408,9606.ENSP00000373937,9606.ENSP00000374309,9606.ENSP00000376678,9606.ENSP00000377721,9606.ENSP00000379330,9606.ENSP00000381382,9606.ENSP00000383053,9606.ENSP00000385478,9606.ENSP00000385616,9606.ENSP00000386096,9606.ENSP00000386881,9606.ENSP00000392028,9606.ENSP00000399511,9606.ENSP00000405004,9606.ENSP00000419446,9606.ENSP00000425556,9606.ENSP00000427123,9606.ENSP00000427514,9606.ENSP00000428924,9606.ENSP00000440273,9606.ENSP00000449404,9606.ENSP00000451261,9606.ENSP00000455215,9606.ENSP00000455507,9606.ENSP00000478061,9606.ENSP00000478927,9606.ENSP00000486285,9606.ENSP00000486891,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000497112","EIF2AK1,MICALL1,LAMB1,COL1A1,HAND1,HES1,HOXB7,MSX2,MSI1,TBX3,SEMA7A,SLC9A3R1,EFHD1,TP63,CDK6,EGFR,MYL9,DUSP6,CAPN2,ITGA2,TNFRSF21,NFIL3,ANPEP,KRT16,DAB2,BIN1,SFXN1,WNT11,FLNC,KRT7,EPHB3,PARVA,PTN,ANO1,SHTN1,PLXNB1,MYOF,SULF2,KRT19,RAB32,ADGRG6,TPBG,FGR,FOXO4,HSPG2,RILPL1,ANXA1,PODXL,GATA3,AGRN,CDX2,PRTG,LAMA1,TAGLN,NR2F2,NFATC2,TCF4,EPHB2,CRPPA,SUN2,MYO18B,DYSF,CHD7,TNIK,ACVR1,ADAM9,PALLD,RAI14,CEBPA,LYN,SH2B2,KRT8,UBE2J1,ADGRG1,OBSCN,MARCKS,YAP1,FARP1,TCF7L2,EFNB2,GRHL2,HOXA13"
11,GO:0030036,Actin cytoskeleton organization,27,547,0.61,1.83e-06,"9606.ENSP00000256194,9606.ENSP00000262613,9606.ENSP00000279022,9606.ENSP00000327145,9606.ENSP00000329219,9606.ENSP00000334008,9606.ENSP00000347532,9606.ENSP00000354826,9606.ENSP00000355124,9606.ENSP00000356515,9606.ENSP00000362924,9606.ENSP00000366109,9606.ENSP00000373964,9606.ENSP00000374377,9606.ENSP00000376330,9606.ENSP00000376333,9606.ENSP00000386096,9606.ENSP00000399511,9606.ENSP00000425556,9606.ENSP00000432568,9606.ENSP00000440273,9606.ENSP00000455507,9606.ENSP00000478061,9606.ENSP00000484398,9606.ENSP00000486285,9606.ENSP00000496438,9606.ENSP00000499251","MICAL2,SLC9A3R1,MYL9,FLNC,FMNL1,PARVA,SHTN1,CALD1,KRT19,UTRN,GSN,ANXA1,SMTNL2,RFLNA,WIPF1,LLGL2,MYO18B,TNIK,PALLD,SPTBN2,SH2B2,OBSCN,MARCKS,SMTN,FARP1,S1PR2,NUAK2"
12,GO:0007010,Cytoskeleton organization,42,1229,0.45,2.05e-06,"9606.ENSP00000070846,9606.ENSP00000256194,9606.ENSP00000262613,9606.ENSP00000279022,9606.ENSP00000301653,9606.ENSP00000316779,9606.ENSP00000321346,9606.ENSP00000327145,9606.ENSP00000329219,9606.ENSP00000329243,9606.ENSP00000334008,9606.ENSP00000336923,9606.ENSP00000347532,9606.ENSP00000349351,9606.ENSP00000354826,9606.ENSP00000355124,9606.ENSP00000356515,9606.ENSP00000362924,9606.ENSP00000366109,9606.ENSP00000368678,9606.ENSP00000373489,9606.ENSP00000373964,9606.ENSP00000374377,9606.ENSP00000374490,9606.ENSP00000376330,9606.ENSP00000376333,9606.ENSP00000385616,9606.ENSP00000385727,9606.ENSP00000386096,9606.ENSP00000399511,9606.ENSP00000425556,9606.ENSP00000432568,9606.ENSP00000440273,9606.ENSP00000449404,9606.ENSP00000455507,9606.ENSP00000478061,9606.ENSP00000484398,9606.ENSP00000486285,9606.ENSP00000491257,9606.ENSP00000496438,9606.ENSP00000497351,9606.ENSP00000499251","PKP2,MICAL2,SLC9A3R1,MYL9,KRT16,BIN1,TTLL11,FLNC,FMNL1,KRT7,PARVA,ARHGAP10,SHTN1,BICD2,CALD1,KRT19,UTRN,GSN,ANXA1,AGRN,KRT18,SMTNL2,RFLNA,DNAH17,WIPF1,LLGL2,SUN2,MAST4,MYO18B,TNIK,PALLD,SPTBN2,SH2B2,KRT8,OBSCN,MARCKS,SMTN,FARP1,FIGNL2,S1PR2,GAN,NUAK2"
13,GO:0009887,Animal organ morphogenesis,37,997,0.49,2.48e-06,"9606.ENSP00000070846,9606.ENSP00000217131,9606.ENSP00000222399,9606.ENSP00000225964,9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000239165,9606.ENSP00000239243,9606.ENSP00000243056,9606.ENSP00000256194,9606.ENSP00000257566,9606.ENSP00000262613,9606.ENSP00000264731,9606.ENSP00000275493,9606.ENSP00000288955,9606.ENSP00000296585,9606.ENSP00000325526,9606.ENSP00000334008,9606.ENSP00000355330,9606.ENSP00000356581,9606.ENSP00000363117,9606.ENSP00000363827,9606.ENSP00000365682,9606.ENSP00000368632,9606.ENSP00000368678,9606.ENSP00000370408,9606.ENSP00000374309,9606.ENSP00000374377,9606.ENSP00000383053,9606.ENSP00000392028,9606.ENSP00000405004,9606.ENSP00000464162,9606.ENSP00000478927,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000497112,9606.ENSP00000501092","PKP2,CTSZ,LAMB1,COL1A1,HAND1,HES1,HOXB7,MSX2,HOXC13,MICAL2,TBX3,SLC9A3R1,TP63,EGFR,GRHL3,ITGA2,WNT11,PARVA,TGM2,ADGRG6,FGR,HSPG2,TLE1,GATA3,AGRN,CDX2,LAMA1,RFLNA,EPHB2,CHD7,ACVR1,GREB1L,YAP1,EFNB2,GRHL2,HOXA13,TFAP2A"
14,GO:0007275,Multicellular organism development,91,4209,0.25,3.89e-06,"9606.ENSP00000070846,9606.ENSP00000160373,9606.ENSP00000199389,9606.ENSP00000215957,9606.ENSP00000217131,9606.ENSP00000222399,9606.ENSP00000225929,9606.ENSP00000225964,9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000239165,9606.ENSP00000239243,9606.ENSP00000243056,9606.ENSP00000256194,9606.ENSP00000257552,9606.ENSP00000257566,9606.ENSP00000260356,9606.ENSP00000261918,9606.ENSP00000262613,9606.ENSP00000264059,9606.ENSP00000264731,9606.ENSP00000265734,9606.ENSP00000274341,9606.ENSP00000275493,9606.ENSP00000288955,9606.ENSP00000295006,9606.ENSP00000296522,9606.ENSP00000296585,9606.ENSP00000296861,9606.ENSP00000297689,9606.ENSP00000300060,9606.ENSP00000307900,9606.ENSP00000316905,9606.ENSP00000325526,9606.ENSP00000332118,9606.ENSP00000333350,9606.ENSP00000334008,9606.ENSP00000341170,9606.ENSP00000346809,9606.ENSP00000347454,9606.ENSP00000347532,9606.ENSP00000348931,9606.ENSP00000351338,9606.ENSP00000351742,9606.ENSP00000353007,9606.ENSP00000354826,9606.ENSP00000355124,9606.ENSP00000355330,9606.ENSP00000356581,9606.ENSP00000358421,9606.ENSP00000358765,9606.ENSP00000360316,9606.ENSP00000362924,9606.ENSP00000363117,9606.ENSP00000363827,9606.ENSP00000366109,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000368678,9606.ENSP00000370408,9606.ENSP00000373937,9606.ENSP00000374309,9606.ENSP00000374377,9606.ENSP00000377721,9606.ENSP00000381382,9606.ENSP00000383053,9606.ENSP00000385478,9606.ENSP00000385616,9606.ENSP00000386096,9606.ENSP00000392028,9606.ENSP00000399511,9606.ENSP00000405004,9606.ENSP00000405577,9606.ENSP00000425556,9606.ENSP00000427514,9606.ENSP00000428924,9606.ENSP00000432568,9606.ENSP00000440273,9606.ENSP00000445122,9606.ENSP00000455215,9606.ENSP00000464162,9606.ENSP00000478061,9606.ENSP00000478927,9606.ENSP00000479526,9606.ENSP00000482760,9606.ENSP00000486285,9606.ENSP00000486891,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000497112,9606.ENSP00000501092","PKP2,CTTNBP2,EIF2AK1,MICALL1,CTSZ,LAMB1,HSD17B1,COL1A1,HAND1,HES1,HOXB7,MSX2,HOXC13,MICAL2,MSI1,TBX3,THBS1,SEMA7A,SLC9A3R1,EFHD1,TP63,CDK6,HAPLN1,EGFR,GRHL3,CAPN2,HPGD,ITGA2,TNFRSF21,NFIL3,ANPEP,GLUL,SFXN1,WNT11,EPHB3,JRKL,PARVA,PTN,PGAP1,ANO1,SHTN1,FABP7,PLXNB1,TFEB,SULF2,CALD1,KRT19,TGM2,ADGRG6,HSD3B1,TPBG,DHCR24,GSN,FGR,HSPG2,ANXA1,PODXL,GATA3,AGRN,CDX2,PRTG,LAMA1,RFLNA,NR2F2,TCF4,EPHB2,CRPPA,SUN2,MYO18B,CHD7,TNIK,ACVR1,CLMP,PALLD,CEBPA,LYN,SPTBN2,SH2B2,HSD3B2,ADGRG1,GREB1L,MARCKS,YAP1,DPF3,PCSK6,FARP1,TCF7L2,EFNB2,GRHL2,HOXA13,TFAP2A"
15,GO:0030855,Epithelial cell differentiation,28,617,0.57,4e-06,"9606.ENSP00000232424,9606.ENSP00000257552,9606.ENSP00000257566,9606.ENSP00000262613,9606.ENSP00000264731,9606.ENSP00000265734,9606.ENSP00000296585,9606.ENSP00000301653,9606.ENSP00000313391,9606.ENSP00000325526,9606.ENSP00000329243,9606.ENSP00000355124,9606.ENSP00000366070,9606.ENSP00000366109,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000370408,9606.ENSP00000374309,9606.ENSP00000376678,9606.ENSP00000377721,9606.ENSP00000405004,9606.ENSP00000419446,9606.ENSP00000425556,9606.ENSP00000427514,9606.ENSP00000449404,9606.ENSP00000478927,9606.ENSP00000495564,9606.ENSP00000497112","HES1,MSI1,TBX3,SLC9A3R1,TP63,CDK6,ITGA2,KRT16,DAB2,WNT11,KRT7,KRT19,RILPL1,ANXA1,PODXL,GATA3,CDX2,LAMA1,TAGLN,NR2F2,ACVR1,ADAM9,PALLD,CEBPA,KRT8,YAP1,GRHL2,HOXA13"
16,GO:0048513,Animal organ development,76,3246,0.29,4.69e-06,"9606.ENSP00000070846,9606.ENSP00000160373,9606.ENSP00000199389,9606.ENSP00000217131,9606.ENSP00000222399,9606.ENSP00000225929,9606.ENSP00000225964,9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000239165,9606.ENSP00000239243,9606.ENSP00000243056,9606.ENSP00000256194,9606.ENSP00000257566,9606.ENSP00000261918,9606.ENSP00000262613,9606.ENSP00000264731,9606.ENSP00000265734,9606.ENSP00000275493,9606.ENSP00000288955,9606.ENSP00000296522,9606.ENSP00000296585,9606.ENSP00000297689,9606.ENSP00000301653,9606.ENSP00000316905,9606.ENSP00000324693,9606.ENSP00000325526,9606.ENSP00000329243,9606.ENSP00000332118,9606.ENSP00000334008,9606.ENSP00000341170,9606.ENSP00000346809,9606.ENSP00000351338,9606.ENSP00000351742,9606.ENSP00000353007,9606.ENSP00000355124,9606.ENSP00000355330,9606.ENSP00000356515,9606.ENSP00000356581,9606.ENSP00000358421,9606.ENSP00000360316,9606.ENSP00000363117,9606.ENSP00000363377,9606.ENSP00000363827,9606.ENSP00000365682,9606.ENSP00000366109,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000368678,9606.ENSP00000370408,9606.ENSP00000374309,9606.ENSP00000374377,9606.ENSP00000376678,9606.ENSP00000377721,9606.ENSP00000383053,9606.ENSP00000385616,9606.ENSP00000386096,9606.ENSP00000392028,9606.ENSP00000405004,9606.ENSP00000419446,9606.ENSP00000425556,9606.ENSP00000427514,9606.ENSP00000428924,9606.ENSP00000432568,9606.ENSP00000445122,9606.ENSP00000449404,9606.ENSP00000455215,9606.ENSP00000464162,9606.ENSP00000478927,9606.ENSP00000479526,9606.ENSP00000484398,9606.ENSP00000486891,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000497112,9606.ENSP00000501092","PKP2,CTTNBP2,EIF2AK1,CTSZ,LAMB1,HSD17B1,COL1A1,HAND1,HES1,HOXB7,MSX2,HOXC13,MICAL2,TBX3,SEMA7A,SLC9A3R1,TP63,CDK6,EGFR,GRHL3,HPGD,ITGA2,NFIL3,KRT16,SFXN1,GRHL1,WNT11,KRT7,EPHB3,PARVA,PTN,PGAP1,PLXNB1,TFEB,SULF2,KRT19,TGM2,UTRN,ADGRG6,HSD3B1,DHCR24,FGR,FOXO4,HSPG2,TLE1,ANXA1,PODXL,GATA3,AGRN,CDX2,LAMA1,RFLNA,TAGLN,NR2F2,EPHB2,SUN2,MYO18B,CHD7,ACVR1,ADAM9,PALLD,CEBPA,LYN,SPTBN2,HSD3B2,KRT8,ADGRG1,GREB1L,YAP1,DPF3,SMTN,TCF7L2,EFNB2,GRHL2,HOXA13,TFAP2A"
17,GO:0001568,Blood vessel development,25,505,0.61,4.78e-06,"9606.ENSP00000225964,9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000257566,9606.ENSP00000260356,9606.ENSP00000296522,9606.ENSP00000300060,9606.ENSP00000307900,9606.ENSP00000325526,9606.ENSP00000332118,9606.ENSP00000334008,9606.ENSP00000354826,9606.ENSP00000363827,9606.ENSP00000370408,9606.ENSP00000374309,9606.ENSP00000377721,9606.ENSP00000383053,9606.ENSP00000386096,9606.ENSP00000392028,9606.ENSP00000405004,9606.ENSP00000455215,9606.ENSP00000478927,9606.ENSP00000486891,9606.ENSP00000493716,9606.ENSP00000497112","COL1A1,HAND1,HES1,TBX3,THBS1,HPGD,ANPEP,GLUL,WNT11,EPHB3,PARVA,CALD1,HSPG2,CDX2,LAMA1,NR2F2,EPHB2,MYO18B,CHD7,ACVR1,ADGRG1,YAP1,TCF7L2,EFNB2,HOXA13"
18,GO:0040012,Regulation of locomotion,37,1032,0.47,4.78e-06,"9606.ENSP00000222399,9606.ENSP00000225964,9606.ENSP00000247226,9606.ENSP00000260356,9606.ENSP00000261918,9606.ENSP00000262613,9606.ENSP00000265734,9606.ENSP00000275493,9606.ENSP00000296585,9606.ENSP00000301653,9606.ENSP00000307900,9606.ENSP00000313391,9606.ENSP00000325526,9606.ENSP00000341170,9606.ENSP00000347532,9606.ENSP00000351338,9606.ENSP00000351602,9606.ENSP00000357131,9606.ENSP00000358547,9606.ENSP00000358765,9606.ENSP00000363117,9606.ENSP00000363377,9606.ENSP00000364526,9606.ENSP00000366109,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000374309,9606.ENSP00000377721,9606.ENSP00000383053,9606.ENSP00000385616,9606.ENSP00000405004,9606.ENSP00000419235,9606.ENSP00000419446,9606.ENSP00000428924,9606.ENSP00000455215,9606.ENSP00000493716,9606.ENSP00000496438","LAMB1,COL1A1,PLEKHG3,THBS1,SEMA7A,SLC9A3R1,CDK6,EGFR,ITGA2,KRT16,GLUL,DAB2,WNT11,PTN,SHTN1,PLXNB1,FUT4,ARHGAP18,MPP1,TPBG,FGR,FOXO4,JCAD,ANXA1,PODXL,GATA3,LAMA1,NR2F2,EPHB2,SUN2,ACVR1,TCAF1,ADAM9,LYN,ADGRG1,EFNB2,S1PR2"
19,GO:0048729,Tissue morphogenesis,26,565,0.58,9.2e-06,"9606.ENSP00000070846,9606.ENSP00000217131,9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000239243,9606.ENSP00000256194,9606.ENSP00000257566,9606.ENSP00000262613,9606.ENSP00000264731,9606.ENSP00000275493,9606.ENSP00000288955,9606.ENSP00000296585,9606.ENSP00000301653,9606.ENSP00000325526,9606.ENSP00000355330,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000374309,9606.ENSP00000392028,9606.ENSP00000405004,9606.ENSP00000464162,9606.ENSP00000478927,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000497112,9606.ENSP00000501092","PKP2,CTSZ,HAND1,HES1,MSX2,MICAL2,TBX3,SLC9A3R1,TP63,EGFR,GRHL3,ITGA2,KRT16,WNT11,TGM2,PODXL,GATA3,LAMA1,CHD7,ACVR1,GREB1L,YAP1,EFNB2,GRHL2,HOXA13,TFAP2A"
20,GO:0002009,Morphogenesis of an epithelium,23,457,0.62,1.29e-05,"9606.ENSP00000217131,9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000239243,9606.ENSP00000256194,9606.ENSP00000257566,9606.ENSP00000262613,9606.ENSP00000264731,9606.ENSP00000275493,9606.ENSP00000288955,9606.ENSP00000301653,9606.ENSP00000325526,9606.ENSP00000355330,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000374309,9606.ENSP00000405004,9606.ENSP00000464162,9606.ENSP00000478927,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000497112,9606.ENSP00000501092","CTSZ,HAND1,HES1,MSX2,MICAL2,TBX3,SLC9A3R1,TP63,EGFR,GRHL3,KRT16,WNT11,TGM2,PODXL,GATA3,LAMA1,ACVR1,GREB1L,YAP1,EFNB2,GRHL2,HOXA13,TFAP2A"
21,GO:0048646,Anatomical structure formation involved in morphogenesis,34,938,0.48,1.31e-05,"9606.ENSP00000222399,9606.ENSP00000225964,9606.ENSP00000231121,9606.ENSP00000239243,9606.ENSP00000257566,9606.ENSP00000260356,9606.ENSP00000264731,9606.ENSP00000279022,9606.ENSP00000288955,9606.ENSP00000295006,9606.ENSP00000296585,9606.ENSP00000300060,9606.ENSP00000307900,9606.ENSP00000325526,9606.ENSP00000327145,9606.ENSP00000332118,9606.ENSP00000334008,9606.ENSP00000352208,9606.ENSP00000354826,9606.ENSP00000355124,9606.ENSP00000355330,9606.ENSP00000356581,9606.ENSP00000363827,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000370408,9606.ENSP00000383053,9606.ENSP00000405004,9606.ENSP00000455215,9606.ENSP00000455507,9606.ENSP00000478927,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000501092","LAMB1,COL1A1,HAND1,MSX2,TBX3,THBS1,TP63,MYL9,GRHL3,CAPN2,ITGA2,ANPEP,GLUL,WNT11,FLNC,EPHB3,PARVA,MYOF,CALD1,KRT19,TGM2,ADGRG6,HSPG2,PODXL,GATA3,CDX2,EPHB2,ACVR1,ADGRG1,OBSCN,YAP1,EFNB2,GRHL2,TFAP2A"
22,GO:2000145,Regulation of cell motility,35,988,0.47,1.32e-05,"9606.ENSP00000222399,9606.ENSP00000225964,9606.ENSP00000247226,9606.ENSP00000260356,9606.ENSP00000261918,9606.ENSP00000262613,9606.ENSP00000265734,9606.ENSP00000275493,9606.ENSP00000296585,9606.ENSP00000301653,9606.ENSP00000307900,9606.ENSP00000313391,9606.ENSP00000325526,9606.ENSP00000341170,9606.ENSP00000347532,9606.ENSP00000351338,9606.ENSP00000351602,9606.ENSP00000357131,9606.ENSP00000358547,9606.ENSP00000363117,9606.ENSP00000363377,9606.ENSP00000364526,9606.ENSP00000366109,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000374309,9606.ENSP00000377721,9606.ENSP00000383053,9606.ENSP00000385616,9606.ENSP00000405004,9606.ENSP00000419235,9606.ENSP00000419446,9606.ENSP00000428924,9606.ENSP00000455215,9606.ENSP00000496438","LAMB1,COL1A1,PLEKHG3,THBS1,SEMA7A,SLC9A3R1,CDK6,EGFR,ITGA2,KRT16,GLUL,DAB2,WNT11,PTN,SHTN1,PLXNB1,FUT4,ARHGAP18,MPP1,FGR,FOXO4,JCAD,ANXA1,PODXL,GATA3,LAMA1,NR2F2,EPHB2,SUN2,ACVR1,TCAF1,ADAM9,LYN,ADGRG1,S1PR2"
23,GO:0051239,Regulation of multicellular organismal process,66,2749,0.3,1.99e-05,"9606.ENSP00000070846,9606.ENSP00000225964,9606.ENSP00000232424,9606.ENSP00000239165,9606.ENSP00000239243,9606.ENSP00000247225,9606.ENSP00000254436,9606.ENSP00000256015,9606.ENSP00000257566,9606.ENSP00000260356,9606.ENSP00000261918,9606.ENSP00000262613,9606.ENSP00000264731,9606.ENSP00000265734,9606.ENSP00000275493,9606.ENSP00000279022,9606.ENSP00000279488,9606.ENSP00000295006,9606.ENSP00000296585,9606.ENSP00000296861,9606.ENSP00000297258,9606.ENSP00000307900,9606.ENSP00000313391,9606.ENSP00000316779,9606.ENSP00000320084,9606.ENSP00000324693,9606.ENSP00000325526,9606.ENSP00000332118,9606.ENSP00000341170,9606.ENSP00000342385,9606.ENSP00000347532,9606.ENSP00000351338,9606.ENSP00000353007,9606.ENSP00000355330,9606.ENSP00000358765,9606.ENSP00000363117,9606.ENSP00000363377,9606.ENSP00000363827,9606.ENSP00000364526,9606.ENSP00000366109,9606.ENSP00000368632,9606.ENSP00000368678,9606.ENSP00000370408,9606.ENSP00000373937,9606.ENSP00000373964,9606.ENSP00000374309,9606.ENSP00000374377,9606.ENSP00000375066,9606.ENSP00000377721,9606.ENSP00000383053,9606.ENSP00000389326,9606.ENSP00000392028,9606.ENSP00000402760,9606.ENSP00000405004,9606.ENSP00000419446,9606.ENSP00000423563,9606.ENSP00000425824,9606.ENSP00000427514,9606.ENSP00000428924,9606.ENSP00000451261,9606.ENSP00000478927,9606.ENSP00000486891,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000496438,9606.ENSP00000501092","PKP2,COL1A1,HES1,HOXB7,MSX2,SGPP1,TRIM21,BTG1,TBX3,THBS1,SEMA7A,SLC9A3R1,TP63,CDK6,EGFR,MYL9,DUSP6,CAPN2,ITGA2,TNFRSF21,FABP5,GLUL,DAB2,BIN1,CD276,GRHL1,WNT11,EPHB3,PTN,PTGES,SHTN1,PLXNB1,SULF2,TGM2,TPBG,FGR,FOXO4,HSPG2,JCAD,ANXA1,GATA3,AGRN,CDX2,PRTG,SMTNL2,LAMA1,RFLNA,HCAR2,NR2F2,EPHB2,ACE2,CHD7,SLC22A5,ACVR1,ADAM9,MACROH2A1,CAMK2D,CEBPA,LYN,UBE2J1,YAP1,TCF7L2,EFNB2,GRHL2,S1PR2,TFAP2A"
24,GO:0003205,Cardiac chamber development,14,168,0.84,2.54e-05,"9606.ENSP00000070846,9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000239243,9606.ENSP00000257566,9606.ENSP00000325526,9606.ENSP00000334008,9606.ENSP00000356581,9606.ENSP00000368632,9606.ENSP00000392028,9606.ENSP00000405004,9606.ENSP00000464162,9606.ENSP00000495564,9606.ENSP00000497112","PKP2,HAND1,HES1,MSX2,TBX3,WNT11,PARVA,ADGRG6,GATA3,CHD7,ACVR1,GREB1L,GRHL2,HOXA13"
25,GO:0030334,Regulation of cell migration,33,927,0.47,2.81e-05,"9606.ENSP00000222399,9606.ENSP00000225964,9606.ENSP00000247226,9606.ENSP00000260356,9606.ENSP00000261918,9606.ENSP00000262613,9606.ENSP00000275493,9606.ENSP00000296585,9606.ENSP00000301653,9606.ENSP00000307900,9606.ENSP00000313391,9606.ENSP00000325526,9606.ENSP00000341170,9606.ENSP00000347532,9606.ENSP00000351338,9606.ENSP00000351602,9606.ENSP00000358547,9606.ENSP00000363117,9606.ENSP00000363377,9606.ENSP00000364526,9606.ENSP00000366109,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000374309,9606.ENSP00000377721,9606.ENSP00000383053,9606.ENSP00000385616,9606.ENSP00000405004,9606.ENSP00000419235,9606.ENSP00000419446,9606.ENSP00000428924,9606.ENSP00000455215,9606.ENSP00000496438","LAMB1,COL1A1,PLEKHG3,THBS1,SEMA7A,SLC9A3R1,EGFR,ITGA2,KRT16,GLUL,DAB2,WNT11,PTN,SHTN1,PLXNB1,FUT4,MPP1,FGR,FOXO4,JCAD,ANXA1,PODXL,GATA3,LAMA1,NR2F2,EPHB2,SUN2,ACVR1,TCAF1,ADAM9,LYN,ADGRG1,S1PR2"
26,GO:0051094,Positive regulation of developmental process,41,1332,0.4,2.81e-05,"9606.ENSP00000222399,9606.ENSP00000225964,9606.ENSP00000232424,9606.ENSP00000239165,9606.ENSP00000239243,9606.ENSP00000256015,9606.ENSP00000260356,9606.ENSP00000261918,9606.ENSP00000264731,9606.ENSP00000295006,9606.ENSP00000313391,9606.ENSP00000316779,9606.ENSP00000325526,9606.ENSP00000332118,9606.ENSP00000341170,9606.ENSP00000347532,9606.ENSP00000351338,9606.ENSP00000355330,9606.ENSP00000358413,9606.ENSP00000358765,9606.ENSP00000364526,9606.ENSP00000366109,9606.ENSP00000368632,9606.ENSP00000368678,9606.ENSP00000370408,9606.ENSP00000374309,9606.ENSP00000379330,9606.ENSP00000381382,9606.ENSP00000383053,9606.ENSP00000392028,9606.ENSP00000405004,9606.ENSP00000419446,9606.ENSP00000423563,9606.ENSP00000427514,9606.ENSP00000428924,9606.ENSP00000478927,9606.ENSP00000479526,9606.ENSP00000486891,9606.ENSP00000493716,9606.ENSP00000496438,9606.ENSP00000501092","LAMB1,COL1A1,HES1,HOXB7,MSX2,BTG1,THBS1,SEMA7A,TP63,CAPN2,DAB2,BIN1,WNT11,EPHB3,PTN,SHTN1,PLXNB1,TGM2,ZDHHC6,TPBG,JCAD,ANXA1,GATA3,AGRN,CDX2,LAMA1,NFATC2,TCF4,EPHB2,CHD7,ACVR1,ADAM9,MACROH2A1,CEBPA,LYN,YAP1,DPF3,TCF7L2,EFNB2,S1PR2,TFAP2A"
